middle_third_to_lower,middle_lower_max_to_min,fifth_1_to_2,fifth_2_to_3,fifth_3_to_4,fifth_4_to_5,fifth_1_to_5,fifths_max_to_min,nose_center_offset_ratio,nose_vertical_position_ratio,mouth_center_offset_ratio,mouth_vertical_position_ratio,left_nose_to_left_inner_eye_offset_ratio,right_nose_to_right_inner_eye_offset_ratio,nose_width_to_inner_eye_gap_ratio,nose_width_to_face_width_ratio,mouth_width_to_face_width_ratio,both_eyes_width_to_face_width_ratio,left_eye_width_to_right_eye_width_ratio,left_eye_height_to_right_eye_height_ratio,left_eye_center_y_minus_right_eye_center_y_ratio,left_mouth_corner_y_minus_right_mouth_corner_y_ratio,label_balanced,label_middle_lower_vertical_imbalance,label_nose_misaligned,label_nose_too_high,label_nose_too_low,label_mouth_misaligned,label_mouth_too_high,label_mouth_too_low,label_nose_too_narrow_relative_to_inner_eye_gap,label_nose_too_wide_relative_to_inner_eye_gap,label_nose_appears_large,label_mouth_appears_wide,label_both_eyes_appear_large,label_both_eyes_appear_small,label_left_eye_appears_larger,label_right_eye_appears_larger,label_left_eye_too_high,label_right_eye_too_high,label_left_mouth_corner_too_high,label_right_mouth_corner_too_high,active_labels
1.1102703306823118,1.1102703306823118,0.9877756879504105,1.0717195839822766,1.0394736058118728,0.9188354695775299,1.0951244703273513,1.1902849254975882,0.015721286105539075,0.4628113632675546,0.009007718757911343,0.7195587169209965,0.023169124721215045,0.016096628002016614,1.091511332379374,0.2043877809355032,0.33817909774278215,0.3820960223120585,0.9389344158545846,1.0458683640789617,0.004739918368394335,0.011355860563756447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,balanced
1.017995712988571,1.017995712988571,1.0941396048789807,1.0786242242644397,1.0556766994147524,0.9389277415703936,0.9933442007454069,1.0109509414468072,0.0030857898413509566,0.5183048953242455,0.014895243118156343,0.7894482731052773,0.0081456339534538,0.009261492650871722,0.9749534177210165,0.1904209247496357,0.33039372042683773,0.3718416404093714,0.9617673088671238,1.0237739592555515,-0.0022625309205960946,0.01463784062654485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,balanced
1.0940583224404947,1.0940583224404947,0.9624733282764083,1.0664519602790403,1.0609528714993606,0.9774956758060349,0.9576656207860489,1.170623875993744,0.002795049672186196,0.4699908202475108,0.00014724539502011024,0.7573693711564056,0.016621271414800805,0.017629134465658378,1.0776405802372493,0.20524036765460868,0.3654992956762315,0.3281736097565955,0.9460342102950363,1.023576414650666,-0.0010405365788472287,0.0028703886851723093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,balanced
1.1082997486315256,1.1082997486315256,1.0269436640001182,1.0107158801315992,1.0118414321490827,0.9607900196125225,0.9061635669135879,1.1091793473080906,0.004291693456390584,0.49085286437246367,0.017068061465363323,0.7102062793370717,0.0014575685422266505,0.007034597300549914,0.9168859400630055,0.21640540830997923,0.36456257218730226,0.4119067671838338,1.0230038956458343,0.98689416060161,0.011304733847977248,-0.014653191524061027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,balanced
1.3731090152979923,1.3822738499831426,0.9952166414176439,1.0019478899231424,0.9981223906391891,1.0000499764749107,1.0019229866356236,1.0017861247041198,0.0013307702179455726,0.4996060580619623,0.0,0.7696811271563744,0.03162533113208394,0.03210577505515383,0.9947092015505824,0.1960110126895941,0.36159909690689374,0.37637808377855975,0.9984873497838425,1.0051969131911442,-0.0007125279421228519,0.0014750311369341731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
1.4115137458910443,1.3986531412323464,1.0017376945741834,1.000950942409329,0.9976234001772128,0.9942157685824462,1.0002885180308554,0.9978820291637448,0.00046535242270940794,0.5000874085820938,0.003203557782641831,0.769042577490108,0.03295300501475627,0.035358551269912636,1.000879986735887,0.20543675030096176,0.3633404449836583,0.38142748423659806,1.0058532115648782,0.9952449477827086,-0.0012795030654994956,-0.0018531518828110499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
1.3476277914292685,1.3373430689111003,1.0012540553898008,1.0033525062715776,1.0079869235667671,1.0116554498640293,1.001657637733104,0.9960418475198726,0.0,0.5010708458493753,0.0,0.7683385709592813,0.03377580640188039,0.03471841822716723,1.0042639209231505,0.2006281942697814,0.3593654606518452,0.37585738498869675,0.9933012682211826,0.9980547683637067,-0.00010756510163664099,0.003535859827159766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
1.4136682614361713,1.430273254739187,1.0085138789297408,0.9967144532831025,1.0033539568149454,0.9963882912876519,1.0037262920514969,1.0015398038644234,0.0,0.49983694989545824,0.0,0.7717842888059283,0.03409003303931844,0.032548788472465506,0.9948882497027215,0.2006903516708885,0.36631636502564174,0.38063996645429377,0.9995254466955604,1.0011433045584102,0.0026120034834136497,0.0004387650027277127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
1.5053469452670636,1.47171251636563,0.9945273632030174,1.006603711728925,1.0068946628831332,0.9992819231468696,0.9984672507154561,1.0058457771689688,0.0,0.4964210919241767,0.0012866535893780889,0.7684215795085617,0.03498975626655986,0.03467311420295098,1.0013502981951958,0.20562992744525488,0.36036233962760694,0.38257575517310743,0.9917993115958759,0.9998051263922795,-0.0016864605405857423,-0.0024376261208472563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
1.457966813865652,1.4877361605035582,0.9986893076225521,1.0040110313012185,1.0021524617480158,1.005349592429771,0.9993819772830004,0.9972162295533172,0.0,0.5009699871650849,0.0003531467169074221,0.7656624477110665,0.03518097956325575,0.035456456660277816,1.0100698961501358,0.20750737844512668,0.3565870265977647,0.3788504665538033,0.994146231992652,0.997637171944146,0.000631210007180681,0.0024117072417764672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middle_lower_vertical_imbalance
